FileFormat:0002.2 file with temperature of atmosphere
SN105HE102
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56,45	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.4.20120406
MTP5HE102F5645K-38.60I70D219217+A1.1
Commentary:
SN105HE102
парабола ДНА = 2,5 град
НЕ102 - ПУ - ХВБ с ЦСД " S "
АЦП - 202 - 09 с контр.U пит.и М
оптопара серии - 2
Т out № 178 пл
БП LPS - 112
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
03/06/2019 00:00:00	12,01	12,99	12,89	12,64	12,29	11,82	11,34	10,85	10,32	9,79	9,28	8,80	8,31	7,87	7,42	7,01	6,59	6,21	5,84	5,48	5,12	11,19
03/06/2019 00:05:00	11,80	12,81	12,86	12,71	12,33	11,85	11,35	10,82	10,30	9,80	9,32	8,85	8,38	7,94	7,50	7,07	6,65	6,27	5,89	5,54	5,18	10,93
03/06/2019 00:10:00	11,14	12,83	12,95	12,80	12,42	11,88	11,35	10,81	10,29	9,79	9,27	8,79	8,31	7,86	7,41	7,00	6,58	6,21	5,84	5,50	5,17	10,82
03/06/2019 00:15:00	11,56	12,83	12,82	12,66	12,39	11,94	11,49	11,02	10,50	9,97	9,45	8,96	8,47	8,01	7,55	7,13	6,71	6,32	5,93	5,56	5,19	10,58
03/06/2019 00:20:00	11,50	12,78	12,89	12,76	12,39	11,90	11,46	11,05	10,50	9,94	9,40	8,90	8,40	7,94	7,48	7,06	6,64	6,25	5,87	5,51	5,15	10,85
03/06/2019 00:25:00	11,31	12,79	12,86	12,72	12,42	11,98	11,51	11,01	10,57	10,09	9,49	8,96	8,43	7,96	7,49	7,08	6,67	6,30	5,93	5,58	5,23	10,78
03/06/2019 00:30:00	11,31	12,71	12,80	12,65	12,28	11,89	11,45	10,96	10,53	10,07	9,55	9,08	8,61	8,19	7,76	7,36	6,97	6,61	6,25	5,91	5,57	10,70
03/06/2019 00:35:00	11,23	12,53	12,66	12,59	12,35	11,96	11,57	11,19	10,71	10,20	9,62	9,10	8,57	8,10	7,63	7,21	6,80	6,41	6,03	5,65	5,28	10,37
03/06/2019 00:40:00	10,88	12,40	12,65	12,62	12,31	11,89	11,44	10,96	10,50	10,02	9,50	9,01	8,52	8,07	7,61	7,20	6,78	6,41	6,04	5,69	5,34	10,28
03/06/2019 00:45:00	10,69	12,34	12,69	12,73	12,43	11,97	11,51	11,05	10,55	10,05	9,55	9,06	8,58	8,12	7,67	7,23	6,80	6,42	6,04	5,68	5,33	10,10
03/06/2019 00:50:00	10,77	12,52	12,75	12,74	12,51	12,11	11,67	11,20	10,62	10,07	9,59	9,11	8,63	8,16	7,70	7,25	6,79	6,38	5,98	5,59	5,20	10,00
03/06/2019 00:55:00	11,09	12,50	12,61	12,49	12,15	11,68	11,23	10,79	10,31	9,85	9,40	8,97	8,55	8,14	7,74	7,34	6,95	6,59	6,24	5,91	5,57	10,19
03/06/2019 01:00:00	11,10	12,77	12,91	12,79	12,44	11,96	11,46	10,95	10,45	9,93	9,37	8,86	8,35	7,88	7,42	6,99	6,57	6,20	5,82	5,47	5,12	10,17
03/06/2019 01:05:00	11,02	13,00	13,05	12,84	12,43	11,94	11,44	10,92	10,39	9,89	9,41	8,97	8,54	8,12	7,71	7,30	6,90	6,54	6,19	5,86	5,53	10,14
03/06/2019 01:10:00	10,78	12,79	13,02	12,97	12,69	12,17	11,65	11,13	10,59	10,05	9,51	9,00	8,49	8,02	7,54	7,10	6,65	6,26	5,87	5,51	5,15	10,43
03/06/2019 01:15:00	10,75	12,55	12,86	12,82	12,41	12,05	11,63	11,15	10,67	10,16	9,57	9,04	8,51	8,04	7,57	7,15	6,73	6,36	5,98	5,63	5,28	10,06
03/06/2019 01:20:00	11,02	12,82	13,00	12,88	12,50	12,03	11,54	11,03	10,54	10,03	9,46	8,95	8,45	7,98	7,52	7,11	6,69	6,32	5,95	5,61	5,26	9,96
03/06/2019 01:25:00	11,02	12,76	12,99	12,92	12,58	12,05	11,58	11,16	10,60	10,04	9,49	8,99	8,48	8,02	7,55	7,12	6,69	6,31	5,93	5,57	5,22	10,45
03/06/2019 01:30:00	10,87	12,64	12,89	12,87	12,58	12,18	11,75	11,28	10,72	10,17	9,63	9,12	8,61	8,13	7,65	7,20	6,76	6,36	5,96	5,58	5,20	10,17
03/06/2019 01:35:00	11,14	12,74	12,89	12,77	12,41	11,98	11,51	11,02	10,51	10,00	9,47	8,98	8,49	8,04	7,59	7,17	6,75	6,38	6,00	5,65	5,30	10,37
03/06/2019 01:40:00	11,10	12,70	12,81	12,67	12,32	11,94	11,49	10,95	10,49	10,02	9,51	9,04	8,57	8,14	7,70	7,29	6,88	6,51	6,15	5,80	5,45	10,42
03/06/2019 01:45:00	11,11	12,67	12,83	12,74	12,40	12,06	11,62	11,07	10,59	10,10	9,56	9,06	8,56	8,10	7,64	7,22	6,79	6,41	6,02	5,66	5,29	10,41
03/06/2019 01:50:00	11,03	12,85	12,95	12,77	12,36	11,86	11,38	10,89	10,36	9,87	9,42	9,01	8,60	8,20	7,79	7,40	7,00	6,64	6,29	5,96	5,63	10,55
03/06/2019 01:55:00	11,34	12,70	12,81	12,68	12,35	11,87	11,46	11,08	10,55	10,04	9,57	9,13	8,69	8,27	7,85	7,45	7,04	6,68	6,31	5,96	5,61	10,70
03/06/2019 02:00:00	11,31	12,57	12,78	12,73	12,40	12,00	11,55	11,06	10,59	10,09	9,53	9,00	8,48	8,01	7,53	7,11	6,68	6,30	5,91	5,55	5,19	10,95
03/06/2019 02:05:00	10,79	12,21	12,46	12,48	12,30	11,98	11,63	11,24	10,80	10,32	9,77	9,26	8,75	8,28	7,82	7,40	6,98	6,59	6,21	5,83	5,46	10,66
03/06/2019 02:10:00	11,46	12,81	12,90	12,77	12,42	11,96	11,48	10,97	10,44	9,94	9,47	9,02	8,57	8,14	7,71	7,29	6,87	6,49	6,11	5,76	5,40	11,10
03/06/2019 02:15:00	11,27	12,54	12,74	12,73	12,51	12,15	11,74	11,31	10,78	10,24	9,68	9,14	8,60	8,11	7,62	7,17	6,72	6,31	5,90	5,51	5,11	11,27
03/06/2019 02:20:00	11,16	12,17	12,42	12,51	12,43	12,08	11,71	11,34	10,90	10,40	9,84	9,30	8,75	8,26	7,76	7,32	6,88	6,48	6,07	5,67	5,27	10,98
03/06/2019 02:25:00	10,89	11,91	12,33	12,51	12,39	12,13	11,82	11,46	11,03	10,56	10,05	9,54	9,03	8,56	8,09	7,65	7,21	6,80	6,40	6,00	5,60	10,24
03/06/2019 02:30:00	11,01	12,41	12,76	12,82	12,58	12,28	11,91	11,48	10,94	10,40	9,87	9,34	8,82	8,33	7,84	7,38	6,93	6,52	6,10	5,70	5,30	10,42
03/06/2019 02:35:00	10,93	12,40	12,71	12,73	12,45	12,09	11,67	11,21	10,73	10,24	9,74	9,25	8,76	8,30	7,85	7,42	6,99	6,60	6,21	5,84	5,47	10,77
03/06/2019 02:40:00	10,57	12,18	12,53	12,60	12,39	12,07	11,73	11,36	10,91	10,43	9,92	9,43	8,95	8,50	8,05	7,63	7,21	6,83	6,45	6,08	5,71	10,05
03/06/2019 02:45:00	10,64	12,26	12,63	12,70	12,48	12,15	11,76	11,33	10,92	10,45	9,86	9,33	8,79	8,31	7,83	7,40	6,98	6,59	6,21	5,84	5,47	9,80
03/06/2019 02:50:00	10,64	12,51	12,93	13,01	12,73	12,37	11,99	11,59	11,06	10,53	10,01	9,51	9,02	8,55	8,08	7,64	7,20	6,80	6,41	6,03	5,65	9,63
03/06/2019 02:55:00	11,22	12,97	13,12	13,05	12,80	12,35	11,88	11,38	10,89	10,38	9,82	9,31	8,80	8,33	7,86	7,43	7,00	6,61	6,22	5,85	5,48	10,34
03/06/2019 03:00:00	10,95	12,73	13,00	13,01	12,75	12,36	11,92	11,45	10,94	10,41	9,82	9,27	8,72	8,23	7,73	7,29	6,84	6,44	6,04	5,66	5,28	10,71
03/06/2019 03:05:00	10,32	11,96	12,46	12,66	12,50	12,22	11,85	11,42	10,98	10,46	9,83	9,24	8,65	8,12	7,60	7,14	6,68	6,26	5,85	5,45	5,05	10,28
03/06/2019 03:10:00	9,68	11,30	11,88	12,19	12,17	12,00	11,75	11,46	11,02	10,58	10,11	9,64	9,16	8,70	8,24	7,80	7,36	6,96	6,55	6,15	5,75	9,15
03/06/2019 03:15:00	9,74	11,15	11,74	12,12	12,25	12,14	11,92	11,63	11,29	10,88	10,35	9,82	9,30	8,81	8,33	7,89	7,44	7,02	6,61	6,19	5,77	9,59
03/06/2019 03:20:00	10,54	12,03	12,29	12,33	12,18	11,92	11,60	11,21	10,83	10,41	9,91	9,45	8,98	8,55	8,12	7,72	7,32	6,95	6,57	6,21	5,84	9,53
03/06/2019 03:25:00	10,55	11,88	12,19	12,29	12,16	11,93	11,61	11,22	10,78	10,33	9,84	9,37	8,89	8,44	7,99	7,57	7,14	6,74	6,35	5,96	5,57	10,70
03/06/2019 03:30:00	10,22	11,53	12,00	12,23	12,18	12,02	11,79	11,51	11,14	10,71	10,17	9,66	9,15	8,68	8,22	7,80	7,38	6,99	6,59	6,20	5,81	10,68
03/06/2019 03:35:00	10,65	12,18	12,55	12,67	12,55	12,24	11,88	11,47	11,01	10,53	10,05	9,58	9,10	8,64	8,18	7,74	7,30	6,90	6,50	6,11	5,72	10,83
